Code,Name,GeographicLevel,CityClass,IncomeClassification,UrbanRural,Population
012818001,Ab-abut,Bgy,,,R,412
012818002,Abucay,Bgy,,,R,1531
012818003,Anao (Pob.),Bgy,,,R,1233
012818004,Arua-ay,Bgy,,,R,381
012818005,Bimmanga,Bgy,,,R,297
012818006,Boyboy,Bgy,,,R,1549
012818007,Cabaroan (Pob.),Bgy,,,R,958
012818008,Calambeg,Bgy,,,R,1288
012818009,Callusa,Bgy,,,R,651
012818010,Dupitac,Bgy,,,R,712
012818011,Estancia,Bgy,,,R,1810
012818012,Gayamat,Bgy,,,R,597
012818013,Lagandit,Bgy,,,R,628
012818014,Libnaoan,Bgy,,,R,616
012818015,Loing (Pob.),Bgy,,,R,1555
012818016,Maab-abaca,Bgy,,,R,454
012818017,Mangitayag,Bgy,,,R,611
012818018,Maruaya,Bgy,,,R,894
012818019,San Antonio,Bgy,,,R,700
012818020,Santa Maria,Bgy,,,R,1491
012818021,Sucsuquen,Bgy,,,R,681
012818022,Tangaoan,Bgy,,,R,1024
012818023,Tonoton,Bgy,,,R,1424
012819000,PINILI,Mun,,3rd,,17300
012819001,Aglipay,Bgy,,,U,607
012819002,Apatut-Lubong,Bgy,,,R,394
012819003,Badio,Bgy,,,R,1355
012819004,Barbar,Bgy,,,R,622
012819005,Buanga,Bgy,,,R,421
012819006,Bulbulala,Bgy,,,R,504
012819007,Bungro,Bgy,,,R,380
012819008,Cabaroan,Bgy,,,R,467
012819009,Capangdanan,Bgy,,,R,755
012819010,Dalayap,Bgy,,,U,668
012819011,Darat,Bgy,,,U,1091
012819012,Gulpeng,Bgy,,,R,380
012819013,Liliputen,Bgy,,,R,479
012819014,Lumbaan-Bicbica,Bgy,,,R,726
012819015,Nagtrigoan,Bgy,,,R,698
012819016,Pagdilao (Pob.),Bgy,,,U,1236
012819017,Pugaoan,Bgy,,,R,559
012819018,Puritac,Bgy,,,R,562
012819019,Sacritan,Bgy,,,R,1184
012819020,Salanap,Bgy,,,R,478
012819021,Santo Tomas,Bgy,,,R,721
012819022,Tartarabang,Bgy,,,R,1098
012819023,Puzol,Bgy,,,R,257
012819024,Upon,Bgy,,,R,577
012819025,Valbuena (Pob.),Bgy,,,U,1081
012820000,SAN NICOLAS,Mun,,2nd,,36736
012820001,San Francisco (Pob.),Bgy,,,U,1599
012820002,San Ildefonso (Pob.),Bgy,,,U,1470
012820003,San Agustin,Bgy,,,R,2249
012820004,San Baltazar (Pob.),Bgy,,,U,752
012820005,San Bartolome (Pob.),Bgy,,,U,872
012820006,San Cayetano (Pob.),Bgy,,,R,776
012820007,San Eugenio (Pob.),Bgy,,,R,1075
012820008,San Fernando (Pob.),Bgy,,,U,1086
012820009,San Gregorio (Pob.),Bgy,,,R,1718
012820010,San Guillermo,Bgy,,,U,1777
012820011,San Jose (Pob.),Bgy,,,R,1130
012820012,San Juan Bautista (Pob.),Bgy,,,R,3041
012820013,San Lorenzo,Bgy,,,U,2277
012820014,San Lucas (Pob.),Bgy,,,U,1384
012820015,San Marcos (Payas),Bgy,,,U,2675
012820016,San Miguel (Pob.),Bgy,,,U,1606
012820017,San Pablo,Bgy,,,R,1709
012820018,San Paulo (Pob.),Bgy,,,R,959
012820019,San Pedro (Bingao),Bgy,,,R,1815
012820020,San Rufino (Pob.),Bgy,,,R,1145
012820021,San Silvestre (Pob.),Bgy,,,R,835
012820022,Santa Asuncion (Samac),Bgy,,,U,881
012820023,Santa Cecilia (Barabar),Bgy,,,R,1904
012820024,Santa Monica (Nagrebcan),Bgy,,,R,2001
012821000,SARRAT,Mun,,4th,,25212
012821001,San Agustin (Pob.),Bgy,,,U,604
012821002,San Andres,Bgy,,,R,1479
012821003,San Antonio,Bgy,,,R,1188
012821004,San Bernabe,Bgy,,,R,250
012821005,San Cristobal,Bgy,,,R,1597
012821006,San Felipe,Bgy,,,R,1114
012821007,San Francisco (Pob.),Bgy,,,R,970
012821008,San Isidro,Bgy,,,U,1125
012821009,San Joaquin (Pob.),Bgy,,,U,1399
012821010,San Jose,Bgy,,,R,1542
012821011,San Juan,Bgy,,,R,784
012821012,San Leandro (Pob.),Bgy,,,R,1328
012821014,San Lorenzo,Bgy,,,R,964
012821015,San Manuel,Bgy,,,R,814
012821016,San Marcos,Bgy,,,R,1377
012821017,San Nicolas,Bgy,,,R,1810
012821018,San Pedro,Bgy,,,R,852
012821019,San Roque,Bgy,,,R,981
012821020,San Vicente (Pob.),Bgy,,,R,940
012821021,Santa Barbara (Pob.),Bgy,,,R,604
012821022,Santa Magdalena,Bgy,,,R,803
012821023,Santa Rosa,Bgy,,,R,1013
012821024,Santo Santiago,Bgy,,,R,725
012821025,Santo Tomas,Bgy,,,R,949
012822000,SOLSONA,Mun,,3rd,,24121
012822001,Aguitap,Bgy,,,R,882
012822002,Bagbag,Bgy,,,R,637
012822003,Bagbago,Bgy,,,R,1160
012822004,Barcelona,Bgy,,,R,1331
012822005,Bubuos,Bgy,,,R,811
012822006,Capurictan,Bgy,,,R,1138
012822007,Catangraran,Bgy,,,R,1395
012822008,Darasdas,Bgy,,,R,1474
012822009,Juan (Pob.),Bgy,,,U,2376
012822010,Laureta (Pob.),Bgy,,,R,1438
012822011,Lipay,Bgy,,,R,343
012822012,Maananteng,Bgy,,,R,1277
012822013,Manalpac,Bgy,,,R,2093
012822014,Mariquet,Bgy,,,R,1154
012822015,Nagpatpatan,Bgy,,,R,702
012822016,Nalasin,Bgy,,,R,685
012822017,Puttao,Bgy,,,R,1252
012822018,San Juan,Bgy,,,R,550
012822019,San Julian,Bgy,,,R,269
012822020,Santa Ana,Bgy,,,R,1208
012822021,Santiago,Bgy,,,R,908
012822022,Talugtog,Bgy,,,R,1038
012823000,VINTAR,Mun,,1st,,32220
