"","date","confirm","region"
"484",2021-12-06,1,"103500000"
"485",2021-12-07,5,"103500000"
"486",2021-12-08,3,"103500000"
"487",2021-12-09,0,"103500000"
"488",2021-12-10,0,"103500000"
"489",2021-12-11,0,"103500000"
"490",2021-12-12,3,"103500000"
"491",2021-12-13,0,"103500000"
"492",2021-12-14,3,"103500000"
"493",2021-12-15,2,"103500000"
"494",2021-12-16,0,"103500000"
"495",2021-12-17,6,"103500000"
"496",2021-12-18,0,"103500000"
"497",2021-12-19,0,"103500000"
"498",2021-12-20,0,"103500000"
"499",2021-12-21,1,"103500000"
"500",2021-12-22,1,"103500000"
"501",2021-12-23,0,"103500000"
"502",2021-12-24,0,"103500000"
"503",2021-12-25,0,"103500000"
"504",2021-12-26,0,"103500000"
"505",2021-12-27,1,"103500000"
"506",2021-12-28,1,"103500000"
"507",2021-12-29,3,"103500000"
"508",2021-12-30,0,"103500000"
"509",2021-12-31,0,"103500000"
"510",2022-01-01,2,"103500000"
"511",2022-01-02,1,"103500000"
"512",2022-01-03,0,"103500000"
"513",2022-01-04,1,"103500000"
"514",2022-01-05,6,"103500000"
"515",2022-01-06,2,"103500000"
"516",2022-01-07,7,"103500000"
"517",2022-01-08,23,"103500000"
"518",2022-01-09,3,"103500000"
"519",2022-01-10,17,"103500000"
"520",2022-01-11,11,"103500000"
"521",2022-01-12,9,"103500000"
"522",2022-01-13,17,"103500000"
"523",2022-01-14,8,"103500000"
"524",2022-01-15,15,"103500000"
"525",2022-01-16,15,"103500000"
"526",2022-01-17,26,"103500000"
"527",2022-01-18,10,"103500000"
"528",2022-01-19,25,"103500000"
"529",2022-01-20,35,"103500000"
"530",2022-01-21,17,"103500000"
"531",2022-01-22,36,"103500000"
"532",2022-01-23,29,"103500000"
"533",2022-01-24,35,"103500000"
"534",2022-01-25,39,"103500000"
"535",2022-01-26,29,"103500000"
"536",2022-01-27,27,"103500000"
"537",2022-01-28,20,"103500000"
"538",2022-01-29,17,"103500000"
"539",2022-01-30,26,"103500000"
"540",2022-01-31,15,"103500000"
"541",2022-02-01,15,"103500000"
"542",2022-02-02,11,"103500000"
"543",2022-02-03,14,"103500000"
"544",2022-02-04,15,"103500000"
"545",2022-02-05,11,"103500000"
"546",2022-02-06,8,"103500000"
"547",2022-02-07,15,"103500000"
"548",2022-02-08,3,"103500000"
"549",2022-02-09,4,"103500000"
"550",2022-02-10,6,"103500000"
"551",2022-02-11,5,"103500000"
"552",2022-02-12,7,"103500000"
"553",2022-02-13,4,"103500000"
"554",2022-02-14,6,"103500000"
"555",2022-02-15,4,"103500000"
"556",2022-02-16,2,"103500000"
"557",2022-02-17,5,"103500000"
"558",2022-02-18,2,"103500000"
"559",2022-02-19,5,"103500000"
"560",2022-02-20,4,"103500000"
"561",2021-11-01,3,"103504000"
"562",2021-11-02,1,"103504000"
"563",2021-11-03,2,"103504000"
"564",2021-11-04,4,"103504000"
"565",2021-11-05,0,"103504000"
"566",2021-11-06,2,"103504000"
"567",2021-11-07,8,"103504000"
"568",2021-11-08,0,"103504000"
"569",2021-11-09,0,"103504000"
"570",2021-11-10,1,"103504000"
"571",2021-11-11,5,"103504000"
"572",2021-11-12,1,"103504000"
"573",2021-11-13,2,"103504000"
"574",2021-11-14,0,"103504000"
"575",2021-11-15,0,"103504000"
"576",2021-11-16,0,"103504000"
"577",2021-11-17,0,"103504000"
"578",2021-11-18,0,"103504000"
"579",2021-11-19,0,"103504000"
"580",2021-11-20,1,"103504000"
"581",2021-11-21,2,"103504000"
"582",2021-11-22,0,"103504000"
"583",2021-11-23,1,"103504000"
"584",2021-11-24,0,"103504000"
"585",2021-11-25,3,"103504000"
"586",2021-11-26,0,"103504000"
"587",2021-11-27,1,"103504000"
"588",2021-11-28,0,"103504000"
"589",2021-11-29,0,"103504000"
"590",2021-11-30,0,"103504000"
"591",2021-12-01,1,"103504000"
"592",2021-12-02,0,"103504000"
"593",2021-12-03,0,"103504000"
"594",2021-12-04,0,"103504000"
"595",2021-12-05,2,"103504000"
"596",2021-12-06,0,"103504000"
"597",2021-12-07,1,"103504000"
"598",2021-12-08,1,"103504000"
"599",2021-12-09,1,"103504000"
"600",2021-12-10,0,"103504000"
"601",2021-12-11,0,"103504000"
"602",2021-12-12,0,"103504000"
"603",2021-12-13,0,"103504000"
"604",2021-12-14,0,"103504000"
"605",2021-12-15,23,"103504000"
"606",2021-12-16,0,"103504000"
"607",2021-12-17,1,"103504000"
"608",2021-12-18,0,"103504000"
"609",2021-12-19,0,"103504000"
"610",2021-12-20,0,"103504000"
"611",2021-12-21,0,"103504000"
"612",2021-12-22,3,"103504000"
"613",2021-12-23,0,"103504000"
"614",2021-12-24,0,"103504000"
"615",2021-12-25,1,"103504000"
"616",2021-12-26,0,"103504000"
"617",2021-12-27,0,"103504000"
"618",2021-12-28,0,"103504000"
"619",2021-12-29,1,"103504000"
"620",2021-12-30,0,"103504000"
"621",2021-12-31,2,"103504000"
"622",2022-01-01,3,"103504000"
"623",2022-01-02,2,"103504000"
"624",2022-01-03,1,"103504000"
"625",2022-01-04,1,"103504000"
"626",2022-01-05,2,"103504000"
"627",2022-01-06,0,"103504000"
"628",2022-01-07,4,"103504000"
"629",2022-01-08,5,"103504000"
"630",2022-01-09,12,"103504000"
"631",2022-01-10,8,"103504000"
"632",2022-01-11,9,"103504000"
"633",2022-01-12,12,"103504000"
"634",2022-01-13,13,"103504000"
"635",2022-01-14,15,"103504000"
"636",2022-01-15,39,"103504000"
"637",2022-01-16,32,"103504000"
"638",2022-01-17,67,"103504000"
"639",2022-01-18,9,"103504000"
"640",2022-01-19,82,"103504000"
"641",2022-01-20,55,"103504000"
"642",2022-01-21,54,"103504000"
"643",2022-01-22,100,"103504000"
"644",2022-01-23,53,"103504000"
"645",2022-01-24,78,"103504000"
"646",2022-01-25,39,"103504000"
"647",2022-01-26,27,"103504000"
"648",2022-01-27,70,"103504000"
"649",2022-01-28,75,"103504000"
