,X,Bgy_Code,cases_7,cases_14,infection_rate,classification,population,AR_7,AR_14,AR_cumulative,AR_active,linelist_date
29781,27,83702028,0,0,0,NA,0,0,0,0,0,2021-11-14
29782,28,83702043,0,0,0,NA,0,0,0,0,0,2021-11-14
29783,29,83702045,0,0,0,NA,0,0,0,0,0,2021-11-14
29784,30,83702001,0,0,0,NA,0,0,0,0,0,2021-11-14
29785,31,83702006,0,0,0,NA,0,0,0,0,0,2021-11-14
29786,32,83702009,0,0,0,NA,0,0,0,0,0,2021-11-14
29787,33,83702010,0,0,0,NA,0,0,0,0,0,2021-11-14
29788,34,83702012,0,0,0,NA,0,0,0,0,0,2021-11-14
29789,35,83702016,0,0,0,NA,0,0,0,0,0,2021-11-14
29790,36,83702017,0,0,0,NA,0,0,0,0,0,2021-11-14
29791,37,83702018,0,0,0,NA,0,0,0,0,0,2021-11-14
29792,38,83702019,0,0,0,NA,0,0,0,0,0,2021-11-14
29793,39,83702020,2,2,11.62115049,NA,1721,11.62115049,11.62115049,127.8326554,11.62115049,2021-11-14
29794,40,83702021,0,0,0,NA,0,0,0,0,0,2021-11-14
29795,41,83702026,0,0,0,NA,0,0,0,0,0,2021-11-14
29796,42,83702030,0,0,0,NA,0,0,0,0,0,2021-11-14
29797,43,83702033,0,0,0,NA,0,0,0,0,0,2021-11-14
29798,44,83702034,0,0,0,NA,0,0,0,0,0,2021-11-14
29799,45,83702035,0,0,0,NA,0,0,0,0,0,2021-11-14
29800,46,83702038,0,0,0,NA,0,0,0,0,0,2021-11-14
29801,47,83702039,0,0,0,NA,0,0,0,0,0,2021-11-14
29802,48,83702041,0,0,0,NA,0,0,0,0,0,2021-11-14
29803,49,83702042,0,0,0,NA,0,0,0,0,0,2021-11-14
29804,50,83702046,0,0,0,NA,0,0,0,0,0,2021-11-14
29805,51,83702047,0,0,0,NA,0,0,0,0,0,2021-11-14
29806,52,83702050,0,0,0,NA,0,0,0,0,0,2021-11-14
29807,53,83702052,0,0,0,NA,0,0,0,0,0,2021-11-14
29808,54,83702054,0,0,0,NA,0,0,0,0,0,2021-11-14
29809,1,83703014,0,1,4.580852038,1,2183,0,4.580852038,82.45533669,4.580852038,2021-11-14
29810,2,83703008,0,0,0,NA,0,0,0,0,0,2021-11-14
29811,3,83703011,0,0,0,NA,0,0,0,0,0,2021-11-14
29812,4,83703013,0,0,0,NA,0,0,0,0,0,2021-11-14
29813,5,83703003,0,0,0,NA,0,0,0,0,0,2021-11-14
29814,6,83703016,1,1,3.389830508,NA,2950,3.389830508,3.389830508,40.6779661,3.389830508,2021-11-14
29815,7,83703009,0,0,0,NA,0,0,0,0,0,2021-11-14
29816,8,83703001,0,0,0,NA,0,0,0,0,0,2021-11-14
29817,9,83703002,1,1,2.0733983,NA,4823,2.0733983,2.0733983,109.8901099,2.0733983,2021-11-14
29818,10,83703004,0,0,0,NA,0,0,0,0,0,2021-11-14
29819,11,83703005,0,1,2.489419965,NA,4017,0,2.489419965,129.4498382,0,2021-11-14
29820,12,83703006,0,0,0,NA,0,0,0,0,0,2021-11-14
29821,13,83703012,0,0,0,NA,0,0,0,0,0,2021-11-14
29822,14,83703015,1,1,3.179650238,NA,3145,3.179650238,3.179650238,60.41335453,3.179650238,2021-11-14
29823,15,83703010,0,0,0,NA,0,0,0,0,0,2021-11-14
29824,16,83703017,0,0,0,NA,0,0,0,0,0,2021-11-14
29825,1,83705014,1,1,5.096839959,1,1962,5.096839959,5.096839959,198.7767584,5.096839959,2021-11-14
29826,2,83705004,0,0,0,NA,0,0,0,0,0,2021-11-14
29827,3,83705025,0,0,0,NA,0,0,0,0,0,2021-11-14
29828,4,83705019,0,0,0,4,0,0,0,0,0,2021-11-14
29829,5,83705016,0,0,0,NA,0,0,0,0,0,2021-11-14
29830,6,83705010,0,0,0,4,0,0,0,0,0,2021-11-14
29831,7,83705012,0,0,0,4,0,0,0,0,0,2021-11-14
29832,8,83705020,0,0,0,NA,0,0,0,0,0,2021-11-14
29833,9,83705008,0,0,0,4,0,0,0,0,0,2021-11-14
29834,10,83705026,0,0,0,NA,0,0,0,0,0,2021-11-14
29835,11,83705023,0,0,0,NA,0,0,0,0,0,2021-11-14
29836,12,83705011,0,0,0,NA,0,0,0,0,0,2021-11-14
29837,13,83705002,0,0,0,4,0,0,0,0,0,2021-11-14
29838,14,83705003,0,0,0,NA,0,0,0,0,0,2021-11-14
