"","X","Bgy_Code","cases_7","cases_14","infection_rate","classification","population","AR_7","AR_14","AR_cumulative","AR_active","linelist_date"
"6771",16,143209006,0,0,0,4,0,0,0,0,0,2022-04-17
"6772",17,143209009,0,0,0,4,0,0,0,0,0,2022-04-17
"6773",18,143209010,0,0,0,4,0,0,0,0,0,2022-04-17
"6774",19,143209012,0,0,0,4,0,0,0,0,0,2022-04-17
"6775",20,143209014,0,0,0,4,0,0,0,0,0,2022-04-17
"6776",21,143209018,0,0,0,4,0,0,0,0,0,2022-04-17
"6777",22,143209020,0,0,0,4,0,0,0,0,0,2022-04-17
"6778",23,143209022,0,0,0,4,0,0,0,0,0,2022-04-17
"6779",1,143211011,0,0,0,4,0,0,0,0,0,2022-04-17
"6780",2,143211005,0,0,0,4,0,0,0,0,0,2022-04-17
"6781",3,143211015,0,0,0,NA,0,0,0,0,0,2022-04-17
"6782",4,143211017,0,0,0,NA,0,0,0,0,0,2022-04-17
"6783",5,143211002,0,0,0,NA,0,0,0,0,0,2022-04-17
"6784",6,143211014,2,3,20.066889632107,1,1495,13.3779264214047,20.066889632107,668.896321070234,6.68896321070234,2022-04-17
"6785",7,143211012,0,0,0,4,0,0,0,0,0,2022-04-17
"6786",8,143211001,0,0,0,NA,0,0,0,0,0,2022-04-17
"6787",9,143211006,0,0,0,NA,0,0,0,0,0,2022-04-17
"6788",10,143211019,0,0,0,4,0,0,0,0,0,2022-04-17
"6789",11,143211007,0,0,0,NA,0,0,0,0,0,2022-04-17
"6790",12,143211008,0,0,0,4,0,0,0,0,0,2022-04-17
"6791",13,143211016,0,0,0,4,0,0,0,0,0,2022-04-17
"6792",14,143211018,0,0,0,4,0,0,0,0,0,2022-04-17
"6793",1,143213004,0,0,0,NA,0,0,0,0,0,2022-04-17
"6794",2,143213040,0,0,0,NA,0,0,0,0,0,2022-04-17
"6795",3,143213038,0,0,0,NA,0,0,0,0,0,2022-04-17
"6796",4,143213006,0,0,0,NA,0,0,0,0,0,2022-04-17
"6797",5,143213011,0,0,0,NA,0,0,0,0,0,2022-04-17
"6798",6,143213005,0,0,0,NA,0,0,0,0,0,2022-04-17
"6799",7,143213027,0,0,0,NA,0,0,0,0,0,2022-04-17
"6800",8,143213037,0,1,2.18292949137743,NA,4581,0,2.18292949137743,855.708360619952,8.73171796550971,2022-04-17
"6801",9,143213041,0,0,0,NA,0,0,0,0,0,2022-04-17
"6802",10,143213033,0,0,0,NA,0,0,0,0,0,2022-04-17
"6803",11,143213043,0,0,0,NA,0,0,0,0,0,2022-04-17
"6804",12,143213039,0,0,0,NA,0,0,0,0,0,2022-04-17
"6805",13,143213009,0,0,0,NA,0,0,0,0,0,2022-04-17
"6806",14,143213021,0,0,0,NA,0,0,0,0,0,2022-04-17
"6807",15,143213012,0,0,0,NA,0,0,0,0,0,2022-04-17
"6808",16,143213031,0,0,0,NA,0,0,0,0,0,2022-04-17
"6809",17,143213030,0,0,0,NA,0,0,0,0,0,2022-04-17
"6810",18,143213001,0,0,0,NA,0,0,0,0,0,2022-04-17
"6811",19,143213002,0,0,0,NA,0,0,0,0,0,2022-04-17
"6812",20,143213003,0,0,0,NA,0,0,0,0,0,2022-04-17
"6813",21,143213007,0,0,0,NA,0,0,0,0,0,2022-04-17
"6814",22,143213010,0,0,0,NA,0,0,0,0,0,2022-04-17
"6815",23,143213014,0,0,0,NA,0,0,0,0,0,2022-04-17
"6816",24,143213015,0,0,0,NA,0,0,0,0,0,2022-04-17
"6817",25,143213016,0,0,0,NA,0,0,0,0,0,2022-04-17
"6818",26,143213017,0,0,0,NA,0,0,0,0,0,2022-04-17
"6819",27,143213018,0,0,0,NA,0,0,0,0,0,2022-04-17
"6820",28,143213019,0,0,0,NA,0,0,0,0,0,2022-04-17
"6821",29,143213020,0,0,0,NA,0,0,0,0,0,2022-04-17
"6822",30,143213023,0,0,0,NA,0,0,0,0,0,2022-04-17
"6823",31,143213024,0,0,0,NA,0,0,0,0,0,2022-04-17
"6824",32,143213025,0,0,0,3,0,0,0,0,0,2022-04-17
"6825",33,143213026,0,0,0,NA,0,0,0,0,0,2022-04-17
"6826",34,143213032,0,0,0,NA,0,0,0,0,0,2022-04-17
"6827",35,143213035,0,0,0,NA,0,0,0,0,0,2022-04-17
"6828",36,143213036,0,0,0,NA,0,0,0,0,0,2022-04-17
"6829",37,143213029,0,0,0,NA,0,0,0,0,0,2022-04-17
